c,phi,sigma
3,1.7575,2.8
3,1.7644,2.5
2.85,1.7688,3.1
3,1.7696,2.3
3,1.7729,1.22
2.8,1.7875,1.3
3,1.7904,1.17
3,1.8075,1.4
2.727,1.8125,1.2
3,1.8161,1.1
2.6,1.8251,1.11
3,1.8713,1.1
2.727,1.8727,1.2
3,2.4222,1.04
2.8,1.7640,3.52
3,1.7695,3.07
3,1.7777,2.56
2.8,1.7663,2.68
3,1.7967,2.02
2.7,1.7609,3.18
2.7,1.7694,2.85
